,0,1,2,3,4,5
0,0.058,0.134,-0.118,0.077,0.049,0.094
1,0.03,0.007,-0.023,0.008,-0.029,0.032
2,0.009,0.012,-0.011,0.011,-0.006,0.014
3,0.02,0.067,-0.067,0.031,0.022,0.053
4,0.025,0.009,-0.023,0.011,-0.027,0.025
5,0.013,0.055,-0.061,0.025,0.017,0.044
6,0.065,0.027,-0.056,0.029,-0.069,0.059
7,0.026,0.015,-0.02,0.013,-0.021,0.029
8,0.043,0.017,-0.044,-0.03,-0.04,0.071
9,0.002,0.001,-0.005,-0.004,-0.005,0.009
10,0.009,0.019,-0.022,0.01,0.01,0.019
11,0.023,0.053,-0.049,0.027,0.023,0.045
12,0.028,0.004,-0.023,0.001,-0.027,0.033
13,0.02,0.004,-0.019,-0.004,-0.021,0.029
14,0.042,0.02,-0.045,-0.045,-0.038,0.082
15,0.072,0.171,-0.145,0.095,0.061,0.121
16,0.008,0.012,-0.008,0.008,-0.001,0.012
17,0.028,0.085,-0.083,0.041,0.029,0.066
18,0.02,0.048,-0.05,0.025,0.018,0.041
19,0.015,0.051,-0.051,0.023,0.018,0.042
20,0.077,0.032,-0.069,0.037,-0.088,0.072
21,0.047,0.013,-0.043,0.013,-0.051,0.045
22,0.038,0.071,-0.065,0.036,0.027,0.06
23,0.003,0.018,-0.017,0.008,0.003,0.013
24,0.012,0.017,-0.021,0.011,0.01,0.021
25,0.091,0.039,-0.082,0.043,-0.103,0.085
26,0.017,0.005,-0.016,0.007,-0.019,0.018
27,0.006,0.007,-0.004,0.005,-0.007,0.011
28,0.038,0.008,-0.027,0.012,-0.032,0.037
29,0.003,0.018,-0.017,0.008,0.003,0.013
30,0.073,0.186,-0.164,0.119,0.059,0.124
31,0.01,0.01,-0.01,0.006,0.003,0.013
32,0.014,0.032,-0.036,0.017,0.014,0.029
33,0.01,0.011,-0.01,0.006,0.003,0.013
34,0.03,0.075,-0.071,0.042,0.027,0.058
35,0.01,0.01,-0.01,0.006,0.003,0.013
36,0.009,0.01,-0.012,0.006,-0.006,0.015
37,0.047,0.013,-0.043,0.013,-0.051,0.045
38,0.053,0.017,-0.049,0.016,-0.057,0.05
39,0.065,0.027,-0.056,0.029,-0.069,0.059
40,0.012,0.002,-0.011,0.004,-0.014,0.014
41,0.076,0.034,-0.07,0.034,-0.081,0.068
42,0.031,0.074,-0.072,0.04,0.029,0.061
43,0.003,0.018,-0.017,0.008,0.003,0.013
44,0.083,0.037,-0.076,0.037,-0.089,0.074
45,0.016,0.006,-0.019,0.008,-0.018,0.017
46,0.005,0.008,-0.011,0.005,0.006,0.011
47,0.009,0.012,-0.011,0.011,-0.006,0.014
48,0.048,0.007,-0.036,-0.004,-0.047,0.049
49,0.02,0.041,-0.033,0.018,0.02,0.036
50,0.095,0.043,-0.081,0.052,-0.099,0.086
51,0.048,0.007,-0.036,-0.004,-0.047,0.049
52,0.029,0.068,-0.067,0.036,0.028,0.056
53,0.004,0.005,-0.003,0.003,-0.002,0.008
54,0.045,0.089,-0.08,0.046,0.033,0.071
55,0.018,0.002,-0.017,-0.002,-0.02,0.024
56,0.012,0.002,-0.011,0.004,-0.014,0.014
57,0.069,0.162,-0.137,0.09,0.057,0.115
58,0.062,0.031,-0.053,0.037,-0.067,0.06
59,0.031,0.076,-0.073,0.041,0.03,0.061
