,0,1,2,3,4,5
0,1.071,0.325,2.513,1.638,1.006,-1.385
1,0.851,-0.443,-0.565,-0.586,0.396,0.245
2,0.746,-0.175,-0.213,-0.108,0.343,0.092
3,0.401,0.054,1.157,0.71,0.664,-0.834
4,0.705,-0.342,-0.471,-0.292,0.357,0.358
5,0.36,0.059,1.008,0.528,0.531,-0.772
6,1.633,-0.811,-1.102,-0.586,0.781,1.003
7,1.055,-0.382,-0.564,-0.347,0.427,0.264
8,0.704,-0.869,-0.872,-1.31,0.657,0.39
9,0.146,-0.154,-0.047,-0.18,0.07,0.017
10,0.245,-0.095,0.335,0.258,0.119,-0.306
11,0.452,-0.088,0.821,0.661,0.44,-0.609
12,0.606,-0.425,-0.523,-0.515,0.404,0.292
13,0.463,-0.378,-0.415,-0.494,0.33,0.207
14,0.665,-0.993,-0.902,-1.541,0.689,0.369
15,1.244,0.41,3.039,2.04,1.44,-1.687
16,0.51,-0.092,-0.015,-0.03,0.261,-0.052
17,0.507,0.089,1.476,0.933,0.82,-1.016
18,0.437,-0.022,0.876,0.581,0.373,-0.588
19,0.311,0.011,0.842,0.537,0.518,-0.643
20,2.092,-1.078,-1.31,-0.679,0.94,1.303
21,1.032,-0.642,-0.899,-0.52,0.677,0.674
22,0.752,0.011,1.262,0.937,0.452,-0.773
23,0.273,-0.039,0.215,0.051,0.252,-0.242
24,0.351,-0.182,0.398,0.276,0.021,-0.313
25,2.441,-1.254,-1.545,-0.799,1.1,1.538
26,0.515,-0.251,-0.333,-0.234,0.267,0.232
27,0.385,-0.2,-0.076,-0.035,0.122,0.08
28,1.002,-0.489,-0.675,-0.584,0.463,0.334
29,0.273,-0.039,0.215,0.051,0.252,-0.242
30,1.397,0.578,3.98,2.209,1.359,-1.906
31,0.328,-0.252,0.188,0.127,-0.005,-0.155
32,0.344,-0.072,0.587,0.418,0.235,-0.455
33,0.327,-0.25,0.192,0.129,-0.005,-0.159
34,0.595,0.084,1.373,0.88,0.634,-0.811
35,0.328,-0.252,0.189,0.127,-0.005,-0.156
36,0.625,-0.261,-0.312,-0.266,0.305,-0.015
37,1.032,-0.642,-0.899,-0.52,0.677,0.673
38,1.198,-0.709,-1.003,-0.559,0.75,0.78
39,1.633,-0.811,-1.103,-0.586,0.781,1.003
40,0.365,-0.204,-0.228,-0.21,0.19,0.144
41,1.918,-1.017,-1.339,-0.59,0.938,1.27
42,0.583,0.011,1.305,0.908,0.617,-0.832
43,0.273,-0.04,0.214,0.049,0.252,-0.242
44,2.095,-1.105,-1.454,-0.649,1.019,1.387
45,0.528,-0.346,-0.36,-0.168,0.284,0.276
46,0.138,-0.097,0.15,0.137,0.037,-0.182
47,0.746,-0.175,-0.213,-0.108,0.343,0.092
48,0.743,-0.635,-0.798,-0.685,0.579,0.532
49,0.38,-0.144,0.532,0.533,0.312,-0.471
50,2.842,-1.408,-1.583,-0.806,1.038,1.515
51,0.743,-0.635,-0.798,-0.685,0.579,0.532
52,0.54,-0.005,1.183,0.839,0.566,-0.77
53,0.24,-0.138,0.015,-0.006,0.056,-0.03
54,0.839,0.099,1.597,1.142,0.585,-0.934
55,0.384,-0.367,-0.352,-0.354,0.316,0.259
56,0.366,-0.204,-0.229,-0.21,0.19,0.144
57,1.176,0.382,2.881,1.932,1.371,-1.595
58,2.021,-0.909,-1.078,-0.568,0.746,1.005
59,0.585,0.031,1.348,0.932,0.631,-0.841
