,0
0,1.723
1,-0.497
2,-0.187
3,0.95
4,-0.402
5,0.835
6,-0.895
7,-0.455
8,-0.71
9,-0.08
10,0.344
11,0.752
12,-0.464
13,-0.385
14,-0.733
15,2.079
16,-0.018
17,1.15
18,0.743
19,0.755
20,-1.078
21,-0.704
22,0.998
23,0.244
24,0.341
25,-1.231
26,-0.284
27,-0.094
28,-0.562
29,0.243
30,2.403
31,0.15
32,0.544
33,0.153
34,1.051
35,0.151
36,-0.23
37,-0.704
38,-0.777
39,-0.895
40,-0.199
41,-1.041
42,1.03
43,0.242
44,-1.118
45,-0.305
46,0.191
47,-0.187
48,-0.652
49,0.558
50,-1.29
51,-0.652
52,0.958
53,0.005
54,1.201
55,-0.338
56,-0.199
57,1.982
58,-0.934
59,1.053
